study_id,first_author,year,country,journal,volume,issue,pages,doi,n_total,n_analyzed,age_mean,age_sd,age_range,pct_female,education_level,sampling_method,design,modality,modality_subtype,duration,subject_domain,platform_name,personality_instrument,personality_item_count,alpha_O,alpha_C,alpha_E,alpha_A,alpha_N,facet_level_reported,outcome_type,outcome_instrument,outcome_reliability,r_O_outcome,r_C_outcome,r_E_outcome,r_A_outcome,r_N_outcome,n_for_correlations,p_value_O,p_value_C,p_value_E,p_value_A,p_value_N,beta_O,beta_C,beta_E,beta_A,beta_N,effect_size_type,era,risk_of_bias_score,author_email_sent,notes,inclusion_status,primary_achievement,region,author_correction
A-01,Abe,2020,US,The Internet and Higher Education,45,,100724,10.1016/j.iheduc.2019.100724,92,92,,,,,Undergraduate,convenience,cross-sectional,fully_online,asynchronous,semester,Psychology,LMS,BFI-44,44,,,,,,,course_grade,quiz_avg + paper grade,,0.35,0.37,0.03,0.16,-0.02,92,<.01,<.01,ns,<.10,ns,,,,,,r,pre-COVID,5,,"Used paper grade as primary; quiz r (C=.48, O=.13) in sensitivity",include,yes,North_America,
A-02,Alkis,2018,Turkey,Educational Technology & Society,21,3,35-47,,316,189,,,,58,Undergraduate,convenience,cross-sectional,fully_online,mixed,,IT,LMS,BFI-44,44,0.81,0.76,0.84,0.6,0.81,N,course_grade,course_grade_0-100,,-0.092,0.205,0.051,0.094,0.03,189,ns,<.01,ns,ns,ns,,,,,r,r,pre-COVID,6,Has PDF,Online N=189 used for primary; blended N=127 available as moderator sensitivity,include,yes,Europe,
A-03,Ashouri,2025,Iran,Cureus,17,7,,,183,183,,,,75,Undergraduate,convenience,cross-sectional,fully_online,e-learning_LMS,>=1 semester,Health,,BFI-44,44,,,,,,N,satisfaction,,,,,,,,,,,,,,,,,,r,beta,COVID,5,Secondary outcome (satisfaction only),Satisfaction only; N beta range -.17 to -.23; no achievement r reported,exclude_from_primary,no,Asia,
A-04,Audet,2021,Canada,Personality and Individual Differences,180,,110969,10.1016/j.paid.2021.110969,350,350,,,,87.8,Undergraduate,convenience,longitudinal_2wave,fully_online,synchronous,COVID,,,BFI-44,44,0.8,0.8,0.8,0.8,0.8,N,engagement,,,,,,,,,,,,,,,,,,r,beta,COVID,6,Has PDF,Engagement/SE only; no achievement. Fall 2020 McGill cohort OVERLAPS with A-05,exclude_from_primary,no,North_America,
A-05,Audet,2023,Canada,Journal of College Reading and Learning,53,4,298-315,10.1080/10790195.2023.2250402,678,678,,,,87.8,Undergraduate,convenience,longitudinal_2wave,fully_online,mixed,COVID,,,BFI-44,44,,,,,,N,engagement,,,,,,,,,,,,,,,,,,r,beta,COVID,6,Has PDF,Fall 2020 McGill cohort OVERLAPS A-04; keep A-04 and drop A-05 per protocol,exclude_overlap,no,North_America,
A-06,Sahinidis,2021,Greece,Springer Proceedings (Strategic Innovative Marketing),,,116-130,10.1007/978-3-030-66154-0_10,555,555,,,,59,Undergraduate,convenience,cross-sectional,fully_online,synchronous,COVID,,,Custom 30-item Big Five,30,0.791,0.753,0.749,0.573,0.695,N,satisfaction,,,,,,,,,,,,,,,,,,r,beta,COVID,4,Has PDF,Satisfaction only; non-BFI scale; AUTHOR CORRECTION from Baruth&Cohen to Sahinidis&Tsaknis,exclude_from_primary,no,Europe,corrected from Baruth to Sahinidis
A-07,Cohen,2017,Israel,Computers in Human Behavior,72,1,1-12,10.1016/j.chb.2017.02.030,72,72,,,,63,Graduate,convenience,cross-sectional,fully_online,asynchronous,,,,BFI-44 Hebrew,44,0.73,0.78,0.81,0.84,0.89,N,satisfaction,,,0.376,0.39,0.025,0.099,0.041,72,,,,,,,,,,r,r,pre-COVID,5,Has PDF,Satisfaction only; AUTHOR CORRECTION from Baruth2023 to Cohen&Baruth2017,exclude_from_primary,no,Asia,corrected from Baruth to Cohen
A-08,Keller,2013,US,Computers in Human Behavior,29,6,2494-2500,10.1016/j.chb.2013.06.007,250,250,,,,72.8,Mixed_UG_Grad,convenience,cross-sectional,fully_online,asynchronous,,,Blackboard,IPIP-50,50,0.77,0.81,0.87,0.83,,N,perception,,,,,,,,,,,,,,,,,,r,r,pre-COVID,5,Has PDF,OCI perceptions only; AUTHOR CORRECTION from Bhagat to Keller&Karau,exclude_from_primary,no,North_America,corrected from Bhagat to Keller
A-09,Bhattacharjee,2025,India,Frontiers in Psychology,16,,1490427,10.3389/fpsyg.2025.1490427,600,384,,,16-21,42.7,Undergraduate,purposive,cross-sectional,face-to-face,,,,,BFI-44,,,,,,,N,GPA,,,,,,,,,,,,,,,,,,r,group_means,post-COVID,4,Has PDF - modality unclear,FACE-TO-FACE engineering college; modality ineligible,exclude,no,Asia,
A-10,Boonyapison,2025,Thailand,Scientific Reports,15,,,10.1038/s41598-025-01038-7,250,203,17.19,0.53,,66,K-12,convenience,cross-sectional,face-to-face,,,,,BFI-44,44,,,,,,N,GPA,,,,,,,,,,,,,,,,,,r,group_means,post-COVID,6,Has PDF - modality unclear,FACE-TO-FACE international high school; modality ineligible,exclude,no,Asia,
A-11,Cheng,2023,Taiwan,British Journal of Educational Technology,54,4,898-923,10.1111/bjet.13302,1150,746,18.02,2.74,,53.22,Mixed_secondary_postsecondary,convenience,cross-sectional,fully_online,asynchronous,,,,BFI_C_only,,,,,,,Y,procrastination,,,,-0.39,,,,,,,,,,,,,,r,r,COVID,6,Has PDF,"C only (no O/E/A/N); procrastination outcome, not achievement",exclude_from_primary,no,Asia,
A-12,Baruth,2023,Israel,Education and Information Technologies,28,,879-904,10.1016/j.chb.2017.02.030,108,108,,,,,Undergraduate,convenience,cross-sectional,fully_online,,,,,BFI-44 Hebrew,44,0.76,0.73,0.8,0.68,0.81,N,satisfaction,,,0.294,0.335,0.324,0.458,-0.542,108,<.01,<.001,<.001,<.001,<.001,,,,,r,rho,COVID,4,Has PDF,Satisfaction only; Spearman rho; AUTHOR CORRECTION from Cohen&Baruth2017 to Baruth&Cohen2023,exclude_from_primary,no,Asia,corrected from Cohen to Baruth
A-13,Dang,2025,China,Frontiers in Psychology,15,,1476437,10.3389/fpsyg.2024.1476437,243,235,,,,73.2,Undergraduate,convenience,cross-sectional,not_online_specific,,,,,NEO-FFI_Chinese,60,,,,,,N,engagement,,,0.301,0.438,0.309,0.247,-0.037,235,,<.01,,,,,,,,r,r,post-COVID,5,Has PDF - modality unclear,Engagement not online-specific; general learning scale; YEAR CORRECTION to 2025,exclude_from_primary,no,Asia,
A-15,Elvers,2003,US,Teaching of Psychology,30,2,159-162,10.1207/S15328023TOP3002_13,54,47,18.6,,,66,Undergraduate,random_assignment,experimental,fully_online,,,Psychology,,NEO-FFI,60,,,,,,N,procrastination_exam,,,,0.41,,,-0.38,21,,=.06,,,=.09,,,,,r,r,pre-COVID,6,Has PDF,RCT online vs lecture; only C and N reported; small N (21 online subset),include_with_caveat,partial,North_America,
A-16,Hidalgo-Fuentes,2024,Honduras+Spain,Heliyon,10,17,e36604,10.1016/j.heliyon.2024.e36172,457,457,22.01,,,70,Undergraduate,convenience,cross-sectional,face-to-face,,,,,BFI-2-S,30,,,,,,N,procrastination,,,,,,,,,,,,,,,,,,r,r,post-COVID,5,Has PDF - modality unclear,FACE-TO-FACE; procrastination outcome; AUTHOR CORRECTION from Garzon-Umerenkova to Hidalgo-Fuentes,exclude,no,Europe,corrected from Garzon-Umerenkova to Hidalgo-Fuentes
A-17,Kara,2024,Turkey,Education and Information Technologies,29,,23517-23546,10.1007/s10639-024-12755-3,525,437,,,,76.2,Undergraduate,convenience,cross-sectional,fully_online,mixed,,,,BFI-44,44,0.78,0.73,0.76,0.63,0.66,N,engagement,,,0.21,0.49,0.18,0.31,-0.2,437,<.01,<.01,<.01,<.01,<.01,,,,,r,r,post-COVID,6,Has PDF,Engagement only; behavioral subscale used,include_secondary,no,Europe,
A-18,Bhagat,2019,Taiwan,Australasian Journal of Educational Technology,35,4,98-108,10.14742/ajet.4162,208,208,25.45,,,53.8,Mixed_UG_Grad,convenience,cross-sectional,fully_online,,,,,Mini-IPIP,20,,,,,,N,perception,,,,,,,,,,,,,,,,,,r,beta,pre-COVID,5,Has PDF,Perceptions only; AUTHOR CORRECTION from Keller&Karau 2013 to Bhagat et al. 2019,exclude_from_primary,no,Asia,corrected from Keller to Bhagat
A-19,MacLean,2022,Canada,"Master's thesis, University of Calgary",,,,,486,465,20,,,79.4,Undergraduate,convenience,cross-sectional,fully_online,,COVID,,,HEXACO-PI-R,60,,,,,,N,preference,,,,,,,,,,,,,,,,,,r,r,COVID,5,Has PDF - HEXACO framework,HEXACO 6-factor; preference outcome not achievement; grey literature (MSc thesis),exclude_from_primary,no,North_America,
A-20,Mustafa,2022,China,Frontiers in Psychology,13,,956281,10.3389/fpsyg.2022.956281,800,718,,,,46,Mixed_UG_Grad,convenience,cross-sectional,fully_online,,COVID,,,Chinese Big Five,30,0.86,0.889,0.848,0.843,0.91,N,satisfaction,,,,,,,,,,,,,,,,,,r,beta,COVID,6,Has PDF,Satisfaction + intention only; PLS-SEM β; COUNTRY CORRECTION from Pakistan to China,exclude_from_primary,no,Asia,
A-21,Nakayama,2014,Japan,Electronic Journal of e-Learning,12,4,394-408,,53,53,,,,,Undergraduate,single_course,cross-sectional,fully_online,,,,,IPIP,,,,,,,N,test_score,,,,,,,,,,,,,,,,,,r,path_indirect,pre-COVID,4,Has PDF,N=53 very small; Big Five→test direct effect n.s.; indirect via note-taking only; r values not extractable from OCR,exclude_from_primary,no,Asia,
